WGD,H3K27ac_down,H3K27ac_up,H3K27ac_genebody,H3K27me3_down,H3K27me3_up,H3K27me3_genebody,H3K4me3_down,H3K4me3_up,H3K4me3_genebody,avg_expression,tau,gene_cds_gc,promoter_gc,rec_rate,te_dist,TEGroup_1,TEGroup_2,TEGroup_3,TEGroup_4,TEdenseAvgUp,TEdenseMaxUp,TEdenseAvgDown,TEdenseMaxDown,CG_up_ave,CG_down_ave,CG_body_ave,CHG_up_ave,CHG_down_ave,CHG_body_ave,CHH_up_ave,CHH_down_ave,CHH_body_ave,CG_up_max,CG_down_max,CHG_up_max,CHG_down_max,CHH_up_max,CHH_down_max,summit_fold_enrichment,upstream_distance,downstream_distance,Ka,Ks,omega,location
0,0.0303588535535026,-0.0329530540927797,2.3486812580756804,0.0980190762006506,-0.2531760933380432,-0.2134488085956872,-0.0931744703222159,-0.1486027241726789,2.450479393135729,1.9051482382026048,0.7299007615337468,52.63157894736842,38.23529411764706,2.86,617,0.0,1.0,0.0,0.0,0.32535,1.0,0.38620000000000004,1.0,0.1542769611111111,0.0069444375,0.0,0.0511111,0.01666666,0.0,0.0563766509433962,0.0,0.0,1.0,0.111111,0.333333,0.0833333,0.488889,0.0,3.84905,10354.0,10187.0,0.1176,0.5677,0.2072,0.0
0,0.0453927103952692,0.1191881389237552,0.1191184147373195,0.0101918035599437,-0.032595974920471,-0.3915009179579587,-0.2044437720355558,0.1324239029568356,0.0577178555920425,3.0424861762547675,0.3416077461609288,47.10767468499427,39.41176470588236,2.83,1007,0.0,0.0,1.0,0.0,0.32049999999999995,1.0,0.09100000000000001,1.0,0.5089505555555556,0.003472225,0.0462322098901098,0.2826317894736842,0.0042517,0.001501938372093,0.0658575686363636,0.003030309090909,0.0030464003289473,1.0,0.0416667,0.916667,0.047619,0.638889,0.0666667,9.35021,5409.0,6855.0,0.0679,0.421,0.1613,0.0
0,0.3306962392957978,1.009248632625877,0.2342807710354654,-0.2553281884813306,-0.1200262088004742,-0.3770135802602081,0.6625962641585704,0.5113800936332098,0.068590175589558,5.796981497821786,0.1598475926069882,53.84615384615385,31.76470588235294,2.83,262,0.0,0.0,0.0,1.0,0.0,0.0,0.079,0.94,0.0015432092592592,0.7359908863636364,0.0050926,0.0,0.3975469657534247,0.0,0.0035055647302904,0.0594859118577075,0.0006459965116279,0.0833333,1.0,0.0,1.0,0.111111,1.0,4.10714,50.0,620.0,0.0962,0.684,0.1406,0.0
0,0.1063493396065474,-0.4049303754137058,0.0730590261424141,-0.2486599166838801,-0.0672363205434748,-0.1250397714715159,-0.188631431211415,-0.2087506468978985,-0.3225520749783185,1.8381566663211024,0.4271251735793083,48.44054580896686,34.705882352941174,2.81,293,0.0,0.0,1.0,0.0,0.0,0.0,0.15715,1.0,0.0086279409090909,0.002583976744186,0.0030864185185185,0.0064102564102564,0.0042328023809523,0.0013440870967741,0.0018849194444444,0.0033648688405797,0.0033883528985507,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,6.66426,2852.0,2187.0,0.0335,0.4106,0.0817,0.0
0,-0.062403027112726,0.1171313638402066,0.1017341929485926,-0.0035556227560836,0.0196148868725314,-0.3481275478321046,0.0097641640178605,0.1005447937104142,0.1965547054161049,5.269396456185202,0.1516422536738845,46.50735294117647,32.94117647058823,2.8,225,0.0,1.0,0.0,0.0,0.13699999999999998,1.0,0.33779999999999993,1.0,0.0,0.01190475,0.0025641038461538,0.0,0.020833325,0.0046296296296296,0.0,0.0,0.0032963635983263,0.0,0.047619,0.0,0.0833333,0.0,0.0,4.65937,66849.0,12282.0,0.0621,0.4429,0.1402,0.0
0,-0.2403237225861981,0.1882450425307782,0.8484316104962296,0.0474834515694703,-0.1203103793095382,-0.3999666170032179,-0.0533915454500878,0.0231400666788354,1.8895602285487776,4.630170476398101,0.4987864286670931,47.152428810720274,35.294117647058826,2.79,216,0.0,1.0,0.0,0.0,0.049499999999999995,0.95,0.41,1.0,0.0,0.2370369999999999,0.0035273333333333,0.0,0.0356009047619047,0.0018115934782608,0.0032407383333333,0.0440631920245398,0.003316259574468,0.0,0.896296,0.0,0.225397,0.111111,0.783333,4.66032,267.0,10492.0,0.026,0.4817,0.054,0.0
0,0.1632689242547322,0.5216854152209358,0.2413550957821535,-0.1205589481100745,-0.129726835052318,-0.4086531095296459,-0.3122833176964251,0.9587406281058722,-0.0326734974761767,5.906105449027195,0.0748912098178896,46.10075914423741,34.705882352941174,2.77,1005,0.0,0.0,0.0,1.0,0.0,0.0,0.48495000000000005,1.0,0.0,0.1111111304347826,0.1345634716666666,0.0,0.185589,0.0046096945205479,0.0,0.0244621391566265,0.0037913852272727,0.0,1.0,0.0,0.683333,0.0,0.52381,8.76876,1414.0,27075.0,0.0797,0.528,0.1509,0.0
0,0.5922913289199021,-0.0197556799980216,-0.157534280129218,-0.1446462629378553,-0.1864077082984052,-0.4836991307125959,0.3165667638741196,-0.3469519346765455,-0.0925792519227463,0.0241511326814739,1.0,41.71322160148976,47.05882352941176,2.76,918,0.0,0.0,1.0,0.0,0.1535,1.0,0.0,0.0,0.0,0.0037037055555555,0.45,0.0,0.0,0.0,0.0,0.0009005957446808,0.0059027843749999,0.0,0.0666667,0.0,0.0,0.0,0.047619,3.67481,13541.0,33172.0,0.0731,0.4678,0.1562,0.0
0,0.4935342198336582,-0.1068529280983217,1.1732086474463157,-0.2817957620910983,-0.1448952054629569,-0.4212556173138655,0.3667568142736493,-0.239146375666766,1.3668025402641932,5.221348963218719,0.4368421610909804,46.30738522954092,37.64705882352941,2.75,1155,0.0,1.0,0.0,0.0,0.44599999999999995,1.0,0.285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019841261904761,0.00444444,0.0,0.0,0.0,0.0,0.0,0.0833333,4.55976,12161.0,91.0,0.0335,0.2026,0.1653,0.0
0,-0.0393357177301781,-0.1760486798800058,0.1217783003551087,-0.1043783920666977,-0.1908466451960505,0.5401173663494387,0.4734283255674428,0.4082797581660365,0.0847581467597231,1.4864344014297406,0.5796118218495938,52.98507462686567,34.705882352941174,2.75,1938,0.0,1.0,0.0,0.0,0.0,0.0,0.0398,0.94,0.0,0.0842857333333333,0.0,0.0,0.0885185133333333,0.0,0.0018518533333333,0.0244241024390243,0.0,0.0,0.683333,0.0,0.5,0.0833333,0.4,4.02482,340.0,399.0,0.097,0.5738,0.169,0.0
