location,GC_genic,GC_prom,avg_expression,tau,Ka,Ks,O,acr_Lup,acr_Ldown,acr_S,recomb,CHH_up_avg,CHH_down_avg,CHH_body_avg,CHG_up_avg,CHG_down_avg,CHG_body_avg,CG_up_avg,CG_down_avg,CG_body_avg,CHH_up_max,CHH_down_max,CHG_up_max,CHG_down_max,CG_up_max,CG_down_max,TEdist,TEdenseAvgUp,TEdenseAvgDown,TEdenseMaxUp,TEdenseMaxDown,TE1,TE2,TE3,TE4,H2AZ_down,H3K4me1_down,H3K4me3_down,H3K9ac_down,H3K27ac_down,H3K27me3_down,H3K36me3_down,H3K56ac_down,H2AZ_genebody,H3K4me1_genebody,H3K4me3_genebody,H3K9ac_genebody,H3K27ac_genebody,H3K27me3_genebody,H3K36me3_genebody,H3K56ac_genebody,H2AZ_up,H3K4me1_up,H3K4me3_up,H3K9ac_up,H3K27ac_up,H3K27me3_up,H3K36me3_up,H3K56ac_up,WGD
0.0,0.452529,0.35,3.5761474901105785,0.266923083991693,0.027,0.1118,0.2417,407732.0,184.0,12.4752,0.57,0.035,0.025,0.005,0.785,0.3,0.26,0.84,0.505,0.83,0.30785,0.24569999999999997,1.0,1.0,1.0,1.0,0,0.0315,0.0,0.63,0.0,0.0,1.0,0.0,0.0,-0.0328650351696147,-0.0682803912247338,-0.0509319986434826,-0.0528957441852682,-0.0440668154687538,-0.0107463599995309,-0.1097634102232819,-0.041945232284363,-0.2053975714766898,1.7858701003234472,0.2171913495582599,0.058228715253976,0.2340586986455321,-0.0753939768854271,2.1756952498763407,0.0503769301053201,-0.0267610710165228,-0.0692860190502287,-0.0014687073524186,-0.0026478861597812,0.0441826083160897,-0.0415774645651928,-0.0935726841533758,0.0146955824189233,0
0.0,0.568702,0.541176,2.846959936332335,0.1999202616610297,0.0219,0.0912,0.24,27.0,9786.0,9.10026,0.55,0.02,0.0,0.0,0.15,0.01,0.05,0.475,0.19,0.58,0.24275000000000002,0.0161,0.8896,0.2611,1.0,1.0,0,0.0375,0.113,0.75,1.0,0.0,1.0,0.0,0.0,0.1505859461753567,0.1835451598397519,-0.0527048743950128,-0.0161626277966366,0.1466234536930281,-0.0355518509586921,0.0699174824377068,0.0326109894987196,-0.1378993721923184,1.1752885765791734,0.1942479391337824,0.0879785436437547,0.224862572780902,-0.1014056540262754,1.627330488256872,0.0474692994747558,0.4283181799538786,-0.036297809532577,-0.0483257282077344,0.0055422259306369,0.0619626314755601,0.0041851284019972,-0.0877164983129373,0.0232842154512088,0
0.0,0.554857,0.63,2.217914982467659,0.2529824283998433,0.0354,0.1679,0.2109,499.0,115752.0,27.7603,0.55,0.0,0.03,0.0,0.015,0.425,0.0,0.125,0.6950000000000001,0.43,0.07735,0.27205,0.2891,1.0,0.79165,1.0,2042,0.024000000000000004,0.379,0.93,1.0,0.0,0.0,1.0,0.0,-0.0725055334356969,-0.0521774513303976,-0.0995353265902611,-0.1018024167620866,-0.0104581194287083,-0.0839891650794713,-0.0852016996739047,-0.064397298595085,0.1537692844144966,0.5515436299642145,0.571890016489754,0.2903484113062761,0.5925202656234918,-0.0027507304799354,0.7518647379828116,0.6328878842670377,0.3242375076295953,0.4843415735123706,0.2784934752436679,0.0463667707328473,0.2084513248504894,-0.0653430083672711,0.4955256171929323,0.0950572222430353,0
0.0,0.519641,0.53,4.440981154612679,0.2589780982609397,0.0308,0.0911,0.338,154.0,106662.0,11.0438,0.53,0.065,0.04,0.0,0.745,0.785,0.005,0.88,0.81,0.535,0.52625,0.36135,1.0,1.0,1.0,1.0,231,0.2505,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0282358888257036,-0.0447760211471404,-0.0469716094825765,0.0055968039846181,0.0180223784512207,-0.0091304022739632,-0.0626955431649471,-0.0511512543027331,-0.0205103908777975,0.699186063075559,0.3475963273308788,0.3547974122044274,0.6277049356569833,-0.059108282842846,1.1226705234479293,0.3001059198083489,0.0216256338985797,-0.0818203000537132,-0.1026090099669362,0.0037331712989419,-2.566375014453684e-05,-0.0418151226752775,-0.1072180559781833,-0.0347831069983863,0
0.0,0.480547,0.33,3.3549388883323856,0.2966865568883837,0.0236,0.1793,0.1315,33897.0,330097.0,31.1352,0.54,0.02,0.02,0.0,0.675,0.605,0.005,0.725,0.755,0.595,0.3095,0.24530000000000002,1.0,1.0,1.0,1.0,596,0.2415,0.7184999999999999,1.0,1.0,0.0,0.0,1.0,0.0,-0.0085539727236527,-0.0132152410225926,-0.0184490925238076,0.003975479118303,-0.018253128079043,0.0057176050746798,-0.0280078231853619,-0.0177642777957683,0.0465569738232629,0.5635684734374323,0.4180759158979955,0.1524915155416289,0.3819755204533765,-0.0509578095088653,0.7789085534541822,0.3090417668767936,-0.0928167474695002,-0.12993015682339,-0.0573047804311337,-0.0534200937405041,0.0196423622766102,-0.0517644868620306,-0.1225986825560799,-0.0189070158683685,0
0.0,0.463794,0.61,2.417923105459437,0.402023809730687,0.0663,0.0918,0.7216,76.0,220647.0,31.1352,0.54,0.015,0.005,0.0,0.025,0.475,0.01,0.12,0.595,0.775,0.2585,0.0662,0.58335,1.0,0.73335,1.0,0,0.035,0.064,0.7,1.0,0.0,0.0,0.0,1.0,0.164473468948041,-0.003394627674487,-0.0689623217618634,0.0202668877646928,0.0721889356146366,-0.0120388277317281,-0.0477867967577358,-1.7246655238792664e-05,-0.0360520757255404,0.9731934795278684,0.2215155611742487,0.1088616080357819,0.3435371183180953,-0.0564144751209009,1.2797839585112487,0.1322221165775705,0.3858606352848774,0.1007772445185002,-0.0230562396476907,0.0224064058220448,0.0708904172196322,-0.014389703400038,-0.0675024775220604,0.0502857672853488,0
0.0,0.540373,0.411765,4.440178244127509,0.1655895889228318,0.0618,0.0815,0.7579,96971.0,92134.0,94.3249,0.56,0.025,0.03,0.0,0.76,0.605,0.005,0.83,0.86,0.26,0.1394,0.43174999999999997,1.0,1.0,1.0,1.0,862,0.6495000000000001,0.305,1.0,1.0,0.0,0.0,1.0,0.0,-0.1011789581284895,-0.1252543758555954,-0.106002929717868,-0.0604873010727014,-0.0905768884737527,-0.070865276288357,-0.1294813928309141,-0.1018026209622774,0.046806814983988,0.3219792330266119,0.5487453300485212,0.3880155610387945,0.7526647806551476,-0.0286175360542597,0.6168612481691189,0.6206300306486026,-0.0773634363221182,-0.0972292503398725,-0.0216523077892191,0.0005271128605134,0.0244020790521486,-0.0440360157878557,-0.0970273818519532,0.0046275698183601,0
0.0,0.74808,0.66,0.8031428134390225,0.749533339456178,0.0314,0.1553,0.2023,41.0,462.0,13.4469,0.57,0.115,0.02,0.0,0.765,0.69,0.0,0.8200000000000001,0.785,0.0,0.6416499999999999,0.14584999999999998,1.0,1.0,1.0,1.0,1272,0.39599999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0265690847101375,-0.0544407198200373,-0.053231247075889,0.0402691427474314,0.0039315178338624,0.007683758298603,-0.06560338533015,-0.0034043184292203,0.2629580365695086,0.0127028381426273,0.1413935479704938,0.1481540117748898,0.1473752213769757,0.0990733861669804,-0.0265465046748705,0.1029534908462196,0.1524302851909522,-0.043939903538912,-0.0298244774988073,0.1005046304264222,0.2228347060626993,0.0228036950790958,-0.05218317536021,0.144417657647283,0
0.0,0.701534,0.58,4.510395309058769,0.3195174848424253,0.0333,0.8675,0.0383,122.0,56992.0,21.5754,0.73,0.095,0.075,0.0,0.305,0.505,0.0,0.4,0.72,0.0,0.7939,0.6939500000000001,1.0,1.0,1.0,1.0,599,0.18,0.2605,1.0,1.0,1.0,0.0,0.0,0.0,0.0568694539251953,-0.0387023652113654,0.0664602824863992,0.1074961583836592,0.2250971478494293,0.0128861801522371,-0.0219281912261469,0.0324069519706095,0.0843236527159492,-0.0282397615104096,1.0203509508691564,0.591778768490039,0.6570882817095336,0.0087399439807374,0.3342043064275256,0.671297694970122,0.2619954463009168,-0.0949272132335251,-0.0359575675368107,0.127952184727473,0.4671275375394111,-0.0252952651560361,-0.0984949207002524,0.1905811958341567,0
0.0,0.612745,0.71,2.2821436921705267,0.5967255252251071,0.0102,0.2551,0.0398,26.0,267293.0,22.5472,0.75,0.05,0.02,0.005,0.36,0.72,0.2,0.54,0.905,0.6699999999999999,0.4222,0.32289999999999996,1.0,1.0,1.0,1.0,180,0.0629,0.8859999999999999,1.0,1.0,0.0,0.0,1.0,0.0,0.025428346859119,0.0002061262912483,-0.0067371756532713,0.0035844691886638,0.0180337341941145,-0.0069576581855887,-0.0403516086478272,0.0035135010758872,0.2077529434118791,0.8693955068929753,0.4069048698081657,0.1613420181813643,0.3105211441340637,0.0156844045911691,0.5734891220576399,0.2782210424438581,0.1757527848368453,-0.1142771996244853,-0.0943199918319081,-0.063949643053041,0.0675026141403775,-0.0133060536922161,-0.1316374941523384,-0.0726593473531153,0
0.0,0.792035,0.72,1.7187573251837125,0.7079541956264054,0.1207,0.1579,0.7642,161369.0,56639.0,28.2725,0.8,0.1,0.06,0.0,0.41000000000000003,0.735,0.0,0.61,0.815,0.0,0.7903,0.5505,1.0,1.0,1.0,1.0,621,0.252,0.6053000000000001,1.0,1.0,0.0,0.0,1.0,0.0,-0.0658141203350014,-0.0886213839525834,-0.0682408049144113,-0.0392569323636686,-0.0830930959221874,-0.0505670265194944,-0.099458658456289,-0.0701858230303759,0.0901183035731162,0.0048819451264744,0.2390232446448724,0.0212149641605526,0.0860788469971772,0.0214089535519648,-0.0194528865953159,0.0644729698696014,0.1429528734915437,-0.042607549370246,-0.0201278140709552,0.014254210647567,0.1015071774819004,0.301173926543122,-0.0826177500062212,0.0218053826883231,0
0.0,0.520833,0.55,3.579912220262868,0.2161824080332332,0.0385,0.126,0.3057,34.0,7905.0,7.20936,0.84,0.045,0.035,0.0,0.43,0.53,0.16,0.63,0.795,0.61,0.3486,0.28995,1.0,1.0,1.0,1.0,0,0.6835,0.41050000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.0194898783931621,-0.0427860541155146,-0.0416414098659782,-0.0121048720959955,-0.0077413628889725,0.0243962494491883,-0.100973297113909,-0.0710699618242626,0.0774033187842482,0.8870882851927435,0.2832740428328518,0.0782666218323357,0.3078343385526797,-0.052242426231186,1.1849864033545845,0.1418664629559715,-0.0519653149032981,-0.0963232088788639,-0.0802541673096069,-0.0062983634004679,-0.0483668432440866,0.079302469428249,-0.1214765524547541,-0.0605849218353909,0
0.0,0.683426,0.7,1.975638579938404,0.6029035117311373,0.0297,0.2953,0.1006,76.0,115555.0,10.5316,0.43,0.065,0.05,0.0,0.44999999999999996,0.49,0.0,0.56,0.735,0.1,0.75915,0.3323,1.0,1.0,1.0,1.0,1359,0.251,0.49099999999999994,1.0,1.0,1.0,0.0,0.0,0.0,-0.0221274183064712,-0.0442441543428285,-0.025906538108841,-0.0361180044425688,-0.0536611828386779,-0.0170466722256115,-0.0685688815696845,-0.0592438912362963,0.1659044815071192,0.234666458657138,1.0069859567906765,0.2765329111090276,0.6095387903954247,-0.0158516479123531,0.7468631569899156,0.5202438237300135,0.1197693064563548,-0.1071941435560953,0.009045475836616,-0.0210498683959085,0.1198725390400102,-0.0393432875439614,-0.0906060872199159,-0.0257006109304416,0
